ID	Individual	EXPERIMENT	RUN	FASTQ_URI	Factor_Value_disease	Factor_Value_cell_type
AZ_D4	AZ	ERX1700388	ERR1630055	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630055/ERR1630055.fastq.gz	normal	alpha cell
AZ_D5	AZ	ERX1700389	ERR1630056	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630056/ERR1630056.fastq.gz	normal	delta cell
AZ_D6	AZ	ERX1700390	ERR1630057	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630057/ERR1630057.fastq.gz	normal	beta cell
AZ_D7	AZ	ERX1700391	ERR1630058	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630058/ERR1630058.fastq.gz	normal	alpha cell
AZ_D8	AZ	ERX1700392	ERR1630059	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630059/ERR1630059.fastq.gz	normal	gamma cell
AZ_D9	AZ	ERX1700393	ERR1630060	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630060/ERR1630060.fastq.gz	normal	alpha cell
AZ_E1	AZ	ERX1700394	ERR1630061	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630061/ERR1630061.fastq.gz	normal	unclassified endocrine cell
AZ_E12	AZ	ERX1700397	ERR1630064	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630064/ERR1630064.fastq.gz	normal	alpha cell
AZ_E2	AZ	ERX1700398	ERR1630065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630065/ERR1630065.fastq.gz	normal	alpha cell
AZ_E3	AZ	ERX1700399	ERR1630066	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630066/ERR1630066.fastq.gz	normal	MHC class II cell
AZ_E4	AZ	ERX1700400	ERR1630067	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630067/ERR1630067.fastq.gz	normal	alpha cell
AZ_E5	AZ	ERX1700401	ERR1630068	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630068/ERR1630068.fastq.gz	normal	alpha cell
AZ_E7	AZ	ERX1700403	ERR1630070	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630070/ERR1630070.fastq.gz	normal	beta cell
AZ_E8	AZ	ERX1700404	ERR1630071	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630071/ERR1630071.fastq.gz	normal	alpha cell
AZ_E9	AZ	ERX1700405	ERR1630072	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630072/ERR1630072.fastq.gz	normal	alpha cell
AZ_F1	AZ	ERX1700406	ERR1630073	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630073/ERR1630073.fastq.gz	normal	beta cell
AZ_F11	AZ	ERX1700408	ERR1630075	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630075/ERR1630075.fastq.gz	normal	unclassified endocrine cell
AZ_F2	AZ	ERX1700410	ERR1630077	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630077/ERR1630077.fastq.gz	normal	beta cell
AZ_F3	AZ	ERX1700411	ERR1630078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630078/ERR1630078.fastq.gz	normal	unclassified endocrine cell
AZ_F4	AZ	ERX1700412	ERR1630079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630079/ERR1630079.fastq.gz	normal	alpha cell
AZ_F5	AZ	ERX1700413	ERR1630080	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630080/ERR1630080.fastq.gz	normal	PSC cell
AZ_F6	AZ	ERX1700414	ERR1630081	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630081/ERR1630081.fastq.gz	normal	acinar cell
AZ_F7	AZ	ERX1700415	ERR1630082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630082/ERR1630082.fastq.gz	normal	co-expression cell
AZ_F8	AZ	ERX1700416	ERR1630083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630083/ERR1630083.fastq.gz	normal	alpha cell
AZ_F9	AZ	ERX1700417	ERR1630084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630084/ERR1630084.fastq.gz	normal	ductal cell
AZ_G1	AZ	ERX1700418	ERR1630085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630085/ERR1630085.fastq.gz	normal	alpha cell
AZ_G10	AZ	ERX1700419	ERR1630086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630086/ERR1630086.fastq.gz	normal	alpha cell
AZ_G2	AZ	ERX1700422	ERR1630089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630089/ERR1630089.fastq.gz	normal	beta cell
AZ_G3	AZ	ERX1700423	ERR1630090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630090/ERR1630090.fastq.gz	normal	alpha cell
AZ_G4	AZ	ERX1700424	ERR1630091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630091/ERR1630091.fastq.gz	normal	alpha cell
AZ_G5	AZ	ERX1700425	ERR1630092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630092/ERR1630092.fastq.gz	normal	gamma cell
AZ_G6	AZ	ERX1700426	ERR1630093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630093/ERR1630093.fastq.gz	normal	co-expression cell
AZ_H1	AZ	ERX1700430	ERR1630097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630097/ERR1630097.fastq.gz	normal	delta cell
AZ_H10	AZ	ERX1700431	ERR1630098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630098/ERR1630098.fastq.gz	normal	acinar cell
AZ_H11	AZ	ERX1700432	ERR1630099	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630099/ERR1630099.fastq.gz	normal	beta cell
AZ_H12	AZ	ERX1700433	ERR1630100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630100/ERR1630100.fastq.gz	normal	gamma cell
AZ_H2	AZ	ERX1700434	ERR1630101	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630101/ERR1630101.fastq.gz	normal	beta cell
AZ_H3	AZ	ERX1700435	ERR1630102	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630102/ERR1630102.fastq.gz	normal	gamma cell
AZ_H4	AZ	ERX1700436	ERR1630103	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630103/ERR1630103.fastq.gz	normal	endothelial cell
AZ_H5	AZ	ERX1700437	ERR1630104	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630104/ERR1630104.fastq.gz	normal	gamma cell
AZ_H6	AZ	ERX1700438	ERR1630105	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630105/ERR1630105.fastq.gz	normal	beta cell
AZ_H9	AZ	ERX1700441	ERR1630108	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630108/ERR1630108.fastq.gz	normal	alpha cell
HP1502401_A10	HP1502401	ERX1700443	ERR1630110	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630110/ERR1630110.fastq.gz	normal	beta cell
HP1502401_A12	HP1502401	ERX1700445	ERR1630112	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630112/ERR1630112.fastq.gz	normal	alpha cell
HP1502401_A14	HP1502401	ERX1700446	ERR1630113	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630113/ERR1630113.fastq.gz	normal	acinar cell
HP1502401_A15	HP1502401	ERX1700447	ERR1630114	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630114/ERR1630114.fastq.gz	normal	alpha cell
HP1502401_A17	HP1502401	ERX1700449	ERR1630116	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630116/ERR1630116.fastq.gz	normal	alpha cell
HP1502401_A18	HP1502401	ERX1700450	ERR1630117	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630117/ERR1630117.fastq.gz	normal	delta cell
HP1502401_A2	HP1502401	ERX1700452	ERR1630119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630119/ERR1630119.fastq.gz	normal	delta cell
HP1502401_A20	HP1502401	ERX1700453	ERR1630120	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630120/ERR1630120.fastq.gz	normal	unclassified endocrine cell
HP1502401_A21	HP1502401	ERX1700454	ERR1630121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630121/ERR1630121.fastq.gz	normal	unclassified endocrine cell
HP1502401_A22	HP1502401	ERX1700455	ERR1630122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630122/ERR1630122.fastq.gz	normal	acinar cell
HP1502401_A23	HP1502401	ERX1700456	ERR1630123	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630123/ERR1630123.fastq.gz	normal	unclassified endocrine cell
HP1502401_A24	HP1502401	ERX1700457	ERR1630124	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630124/ERR1630124.fastq.gz	normal	delta cell
HP1502401_A4	HP1502401	ERX1700459	ERR1630126	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630126/ERR1630126.fastq.gz	normal	alpha cell
HP1502401_A6	HP1502401	ERX1700461	ERR1630128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630128/ERR1630128.fastq.gz	normal	beta cell
HP1502401_A7	HP1502401	ERX1700462	ERR1630129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630129/ERR1630129.fastq.gz	normal	beta cell
HP1502401_B1	HP1502401	ERX1700465	ERR1630132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630132/ERR1630132.fastq.gz	normal	beta cell
HP1502401_B10	HP1502401	ERX1700466	ERR1630133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630133/ERR1630133.fastq.gz	normal	alpha cell
HP1502401_B11	HP1502401	ERX1700467	ERR1630134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630134/ERR1630134.fastq.gz	normal	gamma cell
HP1502401_B14	HP1502401	ERX1700470	ERR1630137	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630137/ERR1630137.fastq.gz	normal	beta cell
HP1502401_B15	HP1502401	ERX1700471	ERR1630138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630138/ERR1630138.fastq.gz	normal	gamma cell
HP1502401_B16	HP1502401	ERX1700472	ERR1630139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630139/ERR1630139.fastq.gz	normal	alpha cell
HP1502401_B17	HP1502401	ERX1700473	ERR1630140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630140/ERR1630140.fastq.gz	normal	acinar cell
HP1502401_B18	HP1502401	ERX1700474	ERR1630141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630141/ERR1630141.fastq.gz	normal	gamma cell
HP1502401_B20	HP1502401	ERX1700477	ERR1630144	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630144/ERR1630144.fastq.gz	normal	alpha cell
HP1502401_B21	HP1502401	ERX1700478	ERR1630145	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630145/ERR1630145.fastq.gz	normal	beta cell
HP1502401_B22	HP1502401	ERX1700479	ERR1630146	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630146/ERR1630146.fastq.gz	normal	unclassified endocrine cell
HP1502401_B23	HP1502401	ERX1700480	ERR1630147	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630147/ERR1630147.fastq.gz	normal	beta cell
HP1502401_B24	HP1502401	ERX1700481	ERR1630148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630148/ERR1630148.fastq.gz	normal	beta cell
HP1502401_B5	HP1502401	ERX1700484	ERR1630151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630151/ERR1630151.fastq.gz	normal	alpha cell
HP1502401_B7	HP1502401	ERX1700486	ERR1630153	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630153/ERR1630153.fastq.gz	normal	beta cell
HP1502401_B8	HP1502401	ERX1700487	ERR1630154	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630154/ERR1630154.fastq.gz	normal	delta cell
HP1502401_C1	HP1502401	ERX1700489	ERR1630156	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630156/ERR1630156.fastq.gz	normal	acinar cell
HP1502401_C10	HP1502401	ERX1700490	ERR1630157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630157/ERR1630157.fastq.gz	normal	beta cell
HP1502401_C12	HP1502401	ERX1700492	ERR1630159	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630159/ERR1630159.fastq.gz	normal	ductal cell
HP1502401_C14	HP1502401	ERX1700493	ERR1630160	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630160/ERR1630160.fastq.gz	normal	alpha cell
HP1502401_C16	HP1502401	ERX1700495	ERR1630162	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630162/ERR1630162.fastq.gz	normal	alpha cell
HP1502401_C18	HP1502401	ERX1700497	ERR1630164	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630164/ERR1630164.fastq.gz	normal	beta cell
HP1502401_C2	HP1502401	ERX1700499	ERR1630166	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630166/ERR1630166.fastq.gz	normal	unclassified endocrine cell
HP1502401_C20	HP1502401	ERX1700500	ERR1630167	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630167/ERR1630167.fastq.gz	normal	delta cell
HP1502401_C21	HP1502401	ERX1700501	ERR1630168	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630168/ERR1630168.fastq.gz	normal	beta cell
HP1502401_C22	HP1502401	ERX1700502	ERR1630169	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630169/ERR1630169.fastq.gz	normal	unclassified endocrine cell
HP1502401_C4	HP1502401	ERX1700506	ERR1630173	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630173/ERR1630173.fastq.gz	normal	alpha cell
HP1502401_C5	HP1502401	ERX1700507	ERR1630174	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630174/ERR1630174.fastq.gz	normal	delta cell
HP1502401_C6	HP1502401	ERX1700508	ERR1630175	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630175/ERR1630175.fastq.gz	normal	beta cell
HP1502401_C7	HP1502401	ERX1700509	ERR1630176	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630176/ERR1630176.fastq.gz	normal	beta cell
HP1502401_C8	HP1502401	ERX1700510	ERR1630177	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630177/ERR1630177.fastq.gz	normal	delta cell
HP1502401_D10	HP1502401	ERX1700513	ERR1630180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630180/ERR1630180.fastq.gz	normal	acinar cell
HP1502401_D12	HP1502401	ERX1700515	ERR1630182	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630182/ERR1630182.fastq.gz	normal	delta cell
HP1502401_D13	HP1502401	ERX1700516	ERR1630183	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630183/ERR1630183.fastq.gz	normal	beta cell
HP1502401_D16	HP1502401	ERX1700519	ERR1630186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630186/ERR1630186.fastq.gz	normal	alpha cell
HP1502401_D17	HP1502401	ERX1700520	ERR1630187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630187/ERR1630187.fastq.gz	normal	delta cell
HP1502401_D18	HP1502401	ERX1700521	ERR1630188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630188/ERR1630188.fastq.gz	normal	ductal cell
HP1502401_D2	HP1502401	ERX1700523	ERR1630190	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630190/ERR1630190.fastq.gz	normal	acinar cell
HP1502401_D20	HP1502401	ERX1700524	ERR1630191	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630191/ERR1630191.fastq.gz	normal	alpha cell
HP1502401_D22	HP1502401	ERX1700526	ERR1630193	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630193/ERR1630193.fastq.gz	normal	beta cell
HP1502401_D23	HP1502401	ERX1700527	ERR1630194	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630194/ERR1630194.fastq.gz	normal	unclassified endocrine cell
HP1502401_D24	HP1502401	ERX1700528	ERR1630195	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630195/ERR1630195.fastq.gz	normal	alpha cell
HP1502401_D3	HP1502401	ERX1700529	ERR1630196	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630196/ERR1630196.fastq.gz	normal	beta cell
HP1502401_D4	HP1502401	ERX1700530	ERR1630197	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630197/ERR1630197.fastq.gz	normal	ductal cell
HP1502401_D5	HP1502401	ERX1700531	ERR1630198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630198/ERR1630198.fastq.gz	normal	alpha cell
HP1502401_D6	HP1502401	ERX1700532	ERR1630199	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630199/ERR1630199.fastq.gz	normal	beta cell
HP1502401_D7	HP1502401	ERX1700533	ERR1630200	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630200/ERR1630200.fastq.gz	normal	beta cell
HP1502401_D8	HP1502401	ERX1700534	ERR1630201	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630201/ERR1630201.fastq.gz	normal	alpha cell
HP1502401_E10	HP1502401	ERX1700537	ERR1630204	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630204/ERR1630204.fastq.gz	normal	beta cell
HP1502401_E11	HP1502401	ERX1700538	ERR1630205	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630205/ERR1630205.fastq.gz	normal	alpha cell
HP1502401_E14	HP1502401	ERX1700540	ERR1630207	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630207/ERR1630207.fastq.gz	normal	epsilon cell
HP1502401_E16	HP1502401	ERX1700542	ERR1630209	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630209/ERR1630209.fastq.gz	normal	alpha cell
HP1502401_E17	HP1502401	ERX1700543	ERR1630210	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630210/ERR1630210.fastq.gz	normal	alpha cell
HP1502401_E18	HP1502401	ERX1700544	ERR1630211	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630211/ERR1630211.fastq.gz	normal	unclassified endocrine cell
HP1502401_E19	HP1502401	ERX1700545	ERR1630212	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630212/ERR1630212.fastq.gz	normal	beta cell
HP1502401_E2	HP1502401	ERX1700546	ERR1630213	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630213/ERR1630213.fastq.gz	normal	acinar cell
HP1502401_E20	HP1502401	ERX1700547	ERR1630214	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630214/ERR1630214.fastq.gz	normal	acinar cell
HP1502401_E21	HP1502401	ERX1700548	ERR1630215	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630215/ERR1630215.fastq.gz	normal	alpha cell
HP1502401_E22	HP1502401	ERX1700549	ERR1630216	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630216/ERR1630216.fastq.gz	normal	co-expression cell
HP1502401_E23	HP1502401	ERX1700550	ERR1630217	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630217/ERR1630217.fastq.gz	normal	acinar cell
HP1502401_E24	HP1502401	ERX1700551	ERR1630218	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630218/ERR1630218.fastq.gz	normal	acinar cell
